USA,CAN,MEX,COL,PER,BRA,CHL,ARG,GBR,IRL,NLD,BEL,FRA,CHE,ESP,PRT,DEU,POL,AUT,CZE,ITA,GRC,ROU,FIN,SWE,NOR,DNK,ZAF,TUR,EGY,ISR,QAT,KAZ,CHN,KOR,JPN,IND,PAK,THA,MYS,SGP,PHL,IDN,AUS,NZL
0.29329676,-1.566892409,5.090738923,10.85466392,1.124343339,7.289667718,3.450630912,4.532559679,1.618436376,7.274449774,2.934669995,4.028087858,2.621303879,0.863049078,0.726512863,3.728872272,3.211882094,1.019223628,6.726138827,0.711044057,1.114637485,1.25653248,-2.810043015,1.975139831,7.399268771,5.492581244,3.491920264,6.430556322,4.512374264,6.560418516,-2.366142987,14.61423589,23.82508207,14.80668492,-1.212345866,1.567290519,2.199849881,-7.358279072,-10.72525203,3.578848068,5.337309434,8.782373599,4.287449495,2.430051783,7.38054941
1.040964414,-1.034066908,1.720077968,-5.362762621,8.274845594,0.254163537,3.544467135,-2.24104238,-0.927407528,-5.593736916,-0.505722103,-0.5076383,-1.074584598,1.09943698,1.263364243,0.710088736,0.682604954,3.013347493,-0.279002526,-1.517238952,-0.832740258,5.412821999,5.831938721,3.036283409,0.480422504,3.390692386,1.961160259,-0.474561036,6.57388115,-4.126139761,4.619520465,-9.93520799,-9.70933623,-5.023487663,-5.154778078,0.074880576,1.778364217,15.08553403,-0.679323519,9.601347889,3.151504134,9.25474595,-7.922351532,-0.546230724,-0.837985091
-2.593309374,-0.02432069,-4.649415037,-5.944042751,9.710350292,-3.551979047,-2.128690927,-2.578400405,-0.900261148,2.782565825,-0.636027576,-1.337525495,-0.709391793,-2.720688714,-1.291145547,1.865058145,0.144455673,-6.750458258,-2.541430241,-2.734126957,-1.843563234,-4.453553614,1.847714064,0.126970755,-3.826449885,-3.045107018,-0.584403877,-0.361471959,-0.472050248,6.524582636,1.194712152,2.116708171,2.275898186,-2.779288856,3.700534486,3.259578459,-9.397549834,-2.131949864,5.814600046,-0.257239846,-0.175211589,-6.623182227,-5.991474996,2.825758044,-2.664161443
0.166810709,1.876514686,6.62931563,3.437898391,2.870471262,7.201394769,3.047209351,0.122640847,2.402948805,-0.235469792,6.310552432,3.372793594,2.168917987,1.861103024,2.107832321,-0.510518508,3.46914913,10.75578703,6.281624,8.053959382,1.138462172,2.37034624,-2.723781131,4.977078649,5.152241834,4.410141587,4.389290828,5.445897975,5.596901337,-1.045027848,2.311364819,-0.99123039,2.887922621,2.658136775,2.242420172,-2.198066182,2.2312204,0.197093387,-3.864689838,5.719768738,4.626047309,4.268106551,6.510420446,4.626273067,2.353850428
3.45610198,5.246107973,0.982051235,3.386135592,14.6984347,5.486905768,10.80223153,1.990787795,3.60117457,2.276765358,8.583982774,4.406986016,7.356002538,6.649594375,0.472407923,7.905462446,8.840934377,5.592764818,3.679764263,8.822194099,6.976004406,3.701425748,4.832926107,8.154423464,11.16819429,5.306802516,6.17301346,7.387449512,5.096143152,3.136161443,6.144544004,5.400413106,-1.637174567,2.956389495,5.233210045,-2.774169661,11.28412892,9.47420573,5.183492313,5.848452983,3.479217004,2.221316628,7.991337459,5.160099899,5.391483675
2.666106437,7.752626676,10.93441048,7.154115283,5.829719026,10.92059504,1.55537737,6.745151464,0.871621159,3.821056274,-1.315200136,-0.379096766,1.722401282,-1.860737969,4.944782332,6.478935626,3.633252273,0.173803684,0.75932824,0.481647268,-1.60615675,3.454171289,2.228235763,5.622701108,-2.008309972,1.946096035,1.345735598,-4.127024248,7.689350928,5.334868568,2.644380407,12.37098434,-4.565595405,2.786639294,7.439293789,0.797725339,6.109974839,3.647634942,5.4825253,2.777376394,4.088852256,10.07026293,-2.816839869,0.740487268,2.061159938
-2.496577119,-0.941725893,-1.515784383,3.712560907,7.630287966,3.446993624,4.715164799,-4.282890378,0.473441459,-4.688101355,-1.076541617,-1.346880056,-1.23112755,-3.337089075,-3.266004489,0.555493061,1.059417329,5.041780394,-1.642234097,0.666177964,-2.499767731,-3.079441871,13.94410756,-0.728207037,-2.24585467,4.985860645,-3.349143769,-2.687144837,-0.127711925,-1.012352964,-1.452654635,-0.359885947,7.359761212,11.99647371,2.170908207,-1.124387595,-0.039939041,6.064053763,3.985440621,-2.373899795,0.16004439,5.052139715,3.93678471,1.87498889,2.712019874
-3.828425822,-0.964503834,-4.83982933,6.710692775,12.86440448,3.499618967,-3.161823997,-1.651148006,-3.237551893,-8.720068513,-0.744001405,-4.758132809,-4.243963883,-2.383989395,1.233684954,-0.236481592,-4.375665719,-0.157537758,-5.632315429,0.373649365,-3.600360918,1.633907729,3.965611837,-0.002138934,-0.413120397,-1.472353347,3.032936369,-0.947430141,14.30381226,4.780803014,1.311213834,4.51213885,-1.020047045,12.81714828,10.28738349,-0.892633358,5.49806426,-3.602328535,13.5861595,0.856063842,0.2725247,-2.37250359,9.503239791,-2.099687115,-1.640658829
0.543485641,-0.919789137,-2.145761353,-12.07767118,-8.402196791,-4.492706716,-1.585246028,-4.097315296,-1.809963591,-2.980309991,-3.379578871,-3.910552697,-2.82129383,-1.516628859,-2.955193489,-6.508057282,-0.809282272,-6.278449933,-5.009892725,0.656679626,-1.413373689,-0.827010544,-5.78136626,4.884610655,-5.538501803,-5.571762644,-1.404073508,-1.435598782,-8.16129688,-7.582250214,-2.217127999,-3.178224214,-11.16533084,7.1988765,-5.420594797,-3.911497433,-4.114739444,-12.62869054,-6.886935022,-9.219631274,-4.438253866,-7.263436824,-6.30723783,-2.636642963,-12.82758911
3.147232606,9.186301324,0.273450839,3.522844247,15.49302055,19.43556483,-0.132402064,6.774101809,2.963435842,-3.263463704,7.400983017,1.790805641,4.504655886,3.208227166,4.629108344,-1.80794206,6.784617177,5.385609926,-0.223267735,9.83707956,3.095706657,7.694461797,-4.417420516,10.97586247,6.295499714,12.96543351,4.8566872,6.109103985,15.87622749,12.68715096,6.682233788,9.266477169,7.93179075,18.57465917,6.804867421,1.696293949,16.1709173,9.199870036,4.895822353,7.744534801,11.09185007,7.60211944,13.93665116,14.3282705,13.08894712
1.081802946,8.789887475,4.205762108,4.270627638,12.20143805,15.09711822,9.527800823,3.16061019,5.419952576,1.771838979,1.313180633,3.924511402,3.226977617,1.31798951,11.01736849,10.33917305,4.050712966,11.80844962,7.037281042,12.13752297,3.191238558,5.615513954,4.466407643,2.805590363,-3.032765542,3.450895413,3.490803484,13.41017296,10.70690348,8.940867353,3.843407095,20.35373351,-0.28100292,14.56007421,6.491013709,-0.983125109,16.39643703,6.971474931,10.07277551,7.592571951,3.94150397,7.791845374,13.77675378,6.943938688,-1.97393916
-4.961721092,-11.82482651,-6.337922871,1.832261581,-14.41054738,-5.603356854,-10.07053724,-10.41071046,-6.117432661,-9.112385159,-4.476736312,-9.125806495,-2.31219864,-0.609097585,-0.329326827,-0.356811195,-1.982886941,-8.433263313,-7.286692772,-1.159508,-2.238978503,-3.538167028,-12.06025167,-2.800286116,-8.822988156,-6.597867883,-4.642360741,-8.281662046,-8.323513644,2.234612564,-3.264168616,-2.000717219,-1.308124832,-14.09386784,-10.27133245,-2.572297486,-2.738227299,-4.687511482,-7.35906273,-3.234891457,-8.402507491,-5.195014896,2.740445897,-8.160810951,-2.710577982
-1.090720562,2.254807366,-1.529563903,-3.786381435,-2.538280599,2.408621606,-2.051716311,-5.384283618,-3.213963023,-5.738766599,-0.365014482,-2.305052628,-1.91990661,-4.423224386,-3.801471503,-4.025283612,1.159513444,-2.483339136,-0.598559525,1.816387346,-1.979851762,2.449684153,5.835192857,-3.856455966,-3.235641272,1.028718896,-0.378797773,-4.441941628,2.382636655,9.700824105,3.68956042,0.614193751,4.322892857,-5.66509953,-2.022350229,-4.473843139,7.026325918,-0.696459033,1.660432215,5.939802173,-0.424958643,3.477599934,0.423589911,-4.043736171,-0.759437177
-6.788750511,-7.071781628,-2.026651881,-7.844896417,-5.208748939,-8.981770729,-2.435113125,-8.50631622,-9.650399993,-2.05083912,-12.55450042,-10.66016385,-12.77758683,-6.334562055,-12.63910183,-11.69156944,-14.50593929,-14.64760827,-14.10927245,-11.53106445,-10.4366274,-14.76736776,-26.6489505,-8.379860352,-12.43072625,-21.78505819,-12.19142839,-13.87703671,-24.29807762,-3.440867129,-4.756215728,-1.574919499,-4.794900665,-25.45509379,-14.34393061,-5.289729519,-15.06107412,-1.785048624,-7.39264215,-1.570807634,-13.2650511,-8.285788756,0.049407218,-9.932619633,-8.047221593
-3.429380713,5.884272183,0.301769382,0.484509967,15.88634639,11.74594538,3.368404973,9.247631258,0.096547,-1.548354773,2.028523919,2.077301536,1.334968962,2.106611634,1.630968448,-2.557696909,0.995801702,3.216146526,3.061219569,10.4012929,-0.527474011,-4.75482409,5.107173768,2.866369643,6.657310594,13.92926161,8.610643825,5.515638188,0.675627639,9.628331557,5.201052139,10.25499262,1.573444043,12.97216366,5.227427851,0.370346475,-2.712990485,11.17955213,13.06711703,-0.647765275,3.696315382,-4.41745422,11.42917275,2.891054482,-2.135354278
-0.705185885,-5.803066659,5.467638909,1.760496486,-5.444630129,-7.928887136,7.405055951,5.482101036,-2.486360065,1.263725899,3.255426869,4.769225241,2.195025894,1.221158417,4.880754067,-0.557931136,0.761486816,7.52134945,0.30947852,0.536227753,-2.351536561,2.139123098,4.321194534,-6.088650015,1.930728881,-1.022620739,3.721758326,-7.816521585,-20.45287669,0.544466119,-6.209736505,-8.884901854,-3.305648529,-14.46112264,-4.624751122,-4.331356436,-13.01433475,0.616362614,-2.653591685,-8.585956851,1.426945889,-6.646786673,-13.28579096,-5.763701073,-6.297194283
4.753381428,6.898471565,-1.961272607,18.41694014,4.927229524,15.16841832,-1.267076021,2.108038672,6.275630993,1.240859304,4.240281216,5.127489667,4.373263756,0.254523539,2.99062639,4.280742141,4.447626259,-1.784857259,11.50378073,-1.18407963,6.059439252,4.356177042,7.160717684,-1.336871824,4.850953539,12.83380434,-0.747190219,12.48086535,16.40400074,5.317678141,8.932327252,23.17735305,5.452748625,14.77158298,6.99817682,7.070616265,10.88155604,-4.299339381,1.701791302,2.478763702,6.271309438,-9.863860101,-3.305494153,8.262533622,2.411291438
